title|isbn|total_pages|amount|publishing_year|publisher_id|price|annotation|cover_path|library_location
Путешествие из Петербурга в Москву|978-0-8142-6021-0|259|8|2022|6|928|«Путешествие из Петербурга в Москву» - роман русского прозаика, поэта, философа Александра Николаевича Радищева (1749-1802). Написан в 1787-1789 годы. Напечатан анонимно в мае 1790 года в домашней типографии Радищева.\nРоман в форме путевых заметок представляет собой собрание разрозненных фрагментов, связанных между собой названиями городов и деревень, мимо которых следует путешественник. Автор рисует картины современной ему России, уделяя основное внимание положению крепостных крестьян, достаточно смело и резко осуждает самодержавие. В книгу также вошли ода «Вольность» и очерк «Слово о Ломоносове». Указом Екатерины II от 4 сентября 1790 года Радищев был признан «виновным в преступлении присяги и должности подданного изданием книги, наполненной самыми вредными умствованиями, разрушающими покой общественный, умаляющими должное ко властям уважение, стремящимися к тому, чтобы произвести в народе негодование противу начальников и начальства и наконец оскорбительными и неистовыми изражениями противу сана и власти царской». Радищева приговорили к смертной казни, но заменили ее десятилетней ссылкой в Илимский острог.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в четвёртом шкафу
Воры|978-1-242-81276-7|24|9|2022|10|590|«Воры» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1890 году в газете «Новое время».\nФельдшер Ергунов - герой рассказа «Воры» - возвращаясь с вызова, сбился с пути и оказался у неизвестного ему одинокого хутора. Фельдшера впустили на ночлег, накормили, напоили, уложили спать, а ночью один из постояльцев увел его лошадь. Столкнувшись на короткое время с реальностью жизни «разбойничьего вертепа», Ергунов подумал о том, что «если сам он до сих пор не стал вором, мошенником или даже разбойником, то потому только, что не умеет или не встречал еще подходящего случая». Конокрад по имени Мерик встречается и в других, созданных ранее пьесах и рассказах Чехова: в первой пьеса писателя «Безотцовщина» и в драматическом этюде «На большой дороге».\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,во втором шкафу
Олеся|978-5-4472-3684-7|133|13|2014|6|656|«Олеся» - повесть русского писателя Александра Ивановича Куприна (1870-1938). Впервые напечатана в 1899 году в газете «Киевлянин».\nВ 1897 году Куприн служил управляющим имением в Ровенском уезде Волынской губернии. Молодого человека впечатлили красота Полесья, в котором христианские традиции тесно сплелись с языческими, и сложные судьбы жителей этого края. На основе увиденного был написан цикл «Полесских рассказов», украшением которого стала повесть «Олеся». По композиции повесть является ретроспективой: повествование идет от лица рассказчика, который вспоминает события минувших дней. Кульминация сюжета - близость главного героя и колдуньи Олеси, живущей по законам дикой природы. Красивая, но короткая сказка взаимной любви оканчивается трагическим расставанием.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,во втором шкафу
Сказка о золотом петушке|978-5-4472-3734-9|12|9|2014|6|526|«Сказка о золотом петушке» - сказка в стихах великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написана в 1834 году. Впервые напечатана в 1835 году в альманахе «Библиотека для чтения».\n«Сказка о золотом петушке» - последняя пушкинская сказка. В основу ее сюжета легла шутливая новелла американского писателя В. Ирвинга «Легенда об арабском звездочете». Пушкин заменил сложный, запутанный и обремененный посторонними деталями ход повествования простой, четкой, художественно выразительной композицией, а условно фантастические образы - образами русской народной поэзии. Шутливая форма рассказа, иронический тон в описании царя Дадона и его действий, лаконичность повествования, отсутствие авторских разъяснении - все это часто приводило критиков к неправильному пониманию смысла сказки о золотом петушке: в ней искали политической темы, намеки на взаимоотношения между поэтом и Николаем I и т.п. Но скорее всего Пушкин просто написал шутливую сказку на тему об опасности и гибельности женских чар.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,во втором шкафу
Крейцерова соната|978-5-4472-3756-1|120|15|2014|6|1053|«Крейцерова соната» - повесть русского писателя, публициста, просветителя и религиозного мыслителя Льва Николаевича Толстого (1828-1910). Написана в 1887-1889 годы. Впервые опубликована в 1890 году в издании «Сочинения гр. Л.Н. Толстого».\nОстрота постановки и важность проблемы, публицистичность повести, драматизм сюжета - все это предопределило высокий накал общественной полемики вокруг «Крейцеровой сонаты». Повесть фактически сводится к спонтанному, взволнованному, откровенному, напряженно эмоциональному монологу главного героя - Позднышева. В его уста Толстой вкладывает идею порочности существования «круга достаточных людей», ориентирующихся на материальные блага, на мнимые ценности, отошедших от законов природы и норм христианской морали. Позднышев описывает события, приведшие его к убийству жены, которое он объясняет ложным, неправедным устройством «нашего европейского общества», которое погрязло в «сутолке существования», «чувственных наслаждениях» и «пучине разврата».\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в первом шкафу
Дневник Фокса Микки|978-5-4472-4374-6|59|11|2015|6|566|«Дневник Фокса Микки» - цикл прозаических рассказов русского поэта Серебряного века, прозаика Саши Черного (настоящее имя Александр Михайлович Гликберг) (1880-1932). Включает 12 рассказов, написанных в период с 1924 по 1927 год. Впервые опубликован в 1927 году в Париже.\nЦикл рассказов «Дневник Фокса Микки» написан для детей. Это доброе и забавное повествование от первого лица о жизни, радостях, снах, мыслях и надеждах маленькой собачки-фокса по кличке Микки. Первый тираж был выпущен числом 200 экземпляров: все они были подписаны автором и содержали портрет самого Фокса Микки, сделанный художником Ф.С. Рожанковским.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в первом шкафу
Обломов|978-5-4472-3635-9|637|19|2014|6|1063|«Обломов» - роман русского писателя Ивана Александровича Гончарова (1812-1891). Работа над романом началась в 1848 году, книга была завершена и опубликована в 1859 году в журнале «Отечественные записки». Это произведение Гончарова является второй частью трилогии о поместном быте дореформенной России, в которую также входят романы «Обыкновенная история» (1847) и «Обрыв» (1869).\n«Я писал свою жизнь и то, что к ней прирастало», - говорил Гончаров об «Обломове». Писатель словно задается вопросом: что же такое «обломовщина» - «золотой век» или гибель, застой? В изложении преобладают мотивы статичности, неподвижности и упадка, но при этом чувствуется и симпатия автора, добродушный юмор, а не только сатирическое отрицание бездеятельного бытия поместного дворянства.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,во втором шкафу
Петербург|978-5-4472-3614-4|1203|6|2014|6|512|«Петербург» - второй роман русского писателя, поэта, критика Андрея Белого (1880-1934) (настоящее имя Борис Николаевич Бугаев). Крупнейшее произведение писателя и одно из высших достижений русского символизма. Опубликован в 1913-1914 и в 1916 году. Во второй редакции, вышедшей в 1922 году, роман сокращен примерно на треть.\nРоман вбирает наследие «петербургского» периода русской истории, преломленное в мифологическом сознании и литературной традиции. Герои романа - жертвы исторического рока, воплощенного в Петербурге и в образе его основателя Петра I; они находятся во власти чудовищной фантасмагории, исполненной мистических губительных сил. В изображении персонажей преобладают приемы шаржа и гротеска, а драматизм ситуаций оборачивается пародией и фарсом. Сюжетную пружину романа образует мотив провокации: он выявляет глобальный исторический конфликт, который обусловил неразрешимую трагедию России, механически воспринявшей «западное» начало и не сумевшей создать новое органическое единство в смешении «западной» и «восточной» культур. Фабула романа тесно переплетена с автобиографическими мотивами, идеологией русских «восточников», антропософским религиозно-мистическим учением Рудольфа Штейнера, а также многими иными социальными и философскими доктринами.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в третьем шкафу
Миргород|978-5-4472-3629-8|313|13|2014|6|920|«Миргород» - цикл повестей русского прозаика, драматурга, поэта, критика, публициста Николая Васильевича Гоголя (1809-1852). Опубликован в 1835 году в двух частях-томах, по две повести в каждом томе: «Старосветские помещики» и «Тарас Бульба» (Часть первая); «Вий» и «Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем» (Часть вторая). Позиционируется как продолжение «Вечеров на хуторе близ Диканьки».\nНесмотря на то, что истории этого цикла сгруппированы по частям, их можно читать и по отдельности, не теряя смысла каждой повести. Формально составляющие сборник повести никак не связаны друг с другом, и объединение их в цикл выглядит достаточно условным. Однако в известном смысле все четыре повести мотивированы изучением первоначальной природы бытия как такового и поиском ответа на метафизический вопрос о смысле и назначении жизни.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,в третьем шкафу
Леди Макбет Мценского уезда|978-5-4472-3693-9|74|10|2014|6|1371|«Леди Макбет Мценского уезда» - повесть русского писателя Николая Семеновича Лескова (1831-1895). Написана в 1864 году. Впервые опубликована в 1865 году в журнале «Эпоха» под заглавием «Леди Макбет нашего уезда», как «первый в серии очерков исключительно одних типических женских характеров окской и частию волжской местности».\nЭто произведение сам автор называл «историей мрачной, в строгих тонах выдержанным этюдом о сильном и страстном женском характере». Главная героиня повести - молодая купчиха Катерина Измайлова, влюбившаяся в молодого красивого приказчика Сергея. Она готова на все ради своей грешной, преступной любви, ради своего возлюбленного. И начинается череда страшных смертей... Гибель главной героини в финале усугубляет ощущение непроглядной темени купеческого быта.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,во втором шкафу
Лиса-лапотница|978-0-940662-84-1|17|13|2022|15|605|"Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список ""Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки"", подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n"|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в первом шкафу
Подросток|978-5-4472-3661-8|789|8|2014|6|662|«Подросток» - роман великого русского писателя, мыслителя, философа и публициста Федора Михайловича Достоевского (1821-1881). Начат в феврале 1874 года и закончен в ноябре 1875 года. Впервые опубликован в 1875 году в журнале «Отечественные записки».\n«Подросток» - это повествование о разложении родовых, семейных и общественных связей в капитализирующейся России. Достоевский дает свою версию взаимоотношений «отцов и детей». Неподготовленность или недоделанность целомудренной в своей основе, но уже испорченной общей жизненной атмосферой души Подростка, который ищет справедливости на неправедных путях, становится предметом художественного анализа писателя. Горький опыт мятежных страстей, стыда и позора, вовлеченность в личную драму отца заставляет молодого человека задуматься над тайной обнаруженного раздвоения, когда все делается во имя любви, великодушия и чести, а заканчивается безобразием, нахальством и бесчестьем.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,во втором шкафу
Винная бочка|978-1-05-495224-8|20|20|2022|2|1676|"Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список ""Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки"", подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n"|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в первом шкафу
Вадим|978-5-4472-4324-1|174|18|2015|6|687|«Вадим» - незавершенный исторический роман русского поэта, прозаика, драматурга, художника Михаила Юрьевича Лермонтова (1814-1841). Написан в 1833-1834 годы. Впервые опубликован в 1873 году в журнале «Вестник Европы» под редакторским заглавием «Юношеская повесть М.Ю. Лермонтова».\nРоман «Вадим» - первое прозаическое произведение Лермонтова, во многом ориентированное на литературные образцы французской повествовательной школы того времени. В его сюжетной основе лежат исторические события крестьянской войны под предводительством Емельяна Пугачева 1773-1775 годов. Отличительная особенность повествования - сочетание субъективно-лирического начала с объективно-бытовым. Центральный персонаж романа - обезображенный нищий, демонический герой-мститель Вадим, в котором «одно мучительно-сладкое чувство ненависти, достигнув высшей своей степени, загородило весь мир», органически оказывается связан со всем комплексом идей и настроений, составляющих содержание лермонтовской романтической лирики.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в четвёртом шкафу
Медный всадник|978-5-4472-3727-1|24|7|2014|6|1947|«Медный всадник» - поэма великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написана осенью 1833 года в Болдино. Поэма не была разрешена Николаем I к печати; в 1834 году в альманахе «Библиотека для чтения» Пушкину под названием «Петербург. Отрывок из поэмы» удалось опубликовать начало произведения. Впервые в полном объеме поэма была напечатана лишь в 1837 году в журнале «Современник», с цензурными изменениями, внесенными в текст В.А. Жуковским.\nВ поэме рассказывается о бедном и ничтожном петербургском жителе Евгении, глуповатом, не оригинальном, ничем не отличающемся от своих собратьев. Не пережив гибели возлюбленной, герой сходит с ума и виновником всех своих бедствий видит Петра Великого.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Бесприданница|978-5-4472-3708-0|115|14|2014|6|1727|«Бесприданница» - пьеса русского драматурга Александра Николаевича Островского (1823-1886). Написана в 1874-1878 годы. Премьера пьесы состоялась в 1878 году на сцене московского Малого театра.\nДействие пьесы происходит в небольшом городке, расположенном на берегу Волги, в котором все друг друга знают и действуют с оглядкой на общественное мнение. История героини Ларисы Огудаловой - девушки впечатлительной, искренней, правдивой и романтичной - вошла в картину нравов и быта города. Она - бесприданница, бедная, безденежная невеста. В душе ее птицей бьется мечта о красивой, благородной, честной, тихой жизни, и она всей душой тянется к идеалу. Таковой она находит в богатом и наглом столичном барине Паратове. Но для него Лариса - лишь игрушка.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в третьем шкафу
Скрипка Паганини|978-1-75125-040-1|12|14|2022|3|1646|"Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список ""Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки"", подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n"|../TableData/BooksPhoto/default_book_cover.png|В первом зале,во втором шкафу
Первая любовь|978-5-4472-3770-7|95|12|2014|6|1244|«Первая любовь» - повесть русского писателя, поэта, публициста, драматурга, переводчика Ивана Сергеевича Тургенева (1818-1883). Написана и впервые опубликована в 1860 году в журнале «Библиотека для чтения».\nПовесть написана как воспоминание пожилого уже человека, рассказывающего о своей первой любви. Юный Владимир - пожилой рассказчик в молодости - приезжает с семьей в загородное поместье, где знакомится с красивой девушкой Зинаидой и влюбляется в нее. Однако вокруг девушки, которая старше героя повествования на пять лет, собирается ряд других молодых людей, добивающихся ее расположения. Чувства Владимира не вызывают взаимности. А позже юноша становится свидетелем свидания Зинаиды с его собственным отцом Петром Васильевичем, который все это время являлся истинным объектом любви девушки.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,во втором шкафу
Сказка о затоптанном цветке|978-0-03-301965-1|7|8|2022|8|1551|"Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список ""Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки"", подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n"|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,в третьем шкафу
Письма русского офицера|978-5-4472-3623-6|743|17|2014|6|905|Федор Николаевич Глинка (1786-1880) - русский офицер, участник декабристских обществ, поэт, прозаик, публицист.\nВ 1805-1806 годах Глинка состоял адъютантом при генерале М.А. Милорадовиче, участвовал в сражении «трех императоров» при Аустерлице 2 декабря 1805 года. Выйдя в отставку, в 1808 году опубликовал «Письма русского офицера» - записки о военных кампаниях 1805-1806 годов. В 1812 году опять поступил в армию адъютантом к Милорадовичу и находился в походах до конца 1814 года. Участвовал в боях при Тарутине, Малоярославце, Вязьме, Дорогобуже и Баутцене. Вернувшись в Россию, в 1815 году переиздал военные записки с дополнениями - «Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием Отечественной и заграничной войны с 1812 по 1814 год». Это издание в 5 частях принесло Фёдору Глинке литературную известность.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в первом шкафу
Яр|978-0-88286-496-9|135|16|2022|13|716|«Яр» - прозаическая повесть русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написана и впервые опубликована в 1916 году в журнале «Северные записки».\n«Яр» - первое прозаическое произведение Есенина, попытка осмыслить суть народного миропонимания, характер и глубину русской души. На страницах есенинской повести предстает опоэтизированная крестьянская жизнь, в которой есть место как светлым, жизнеутверждающим, лирическим, так и грубым, примитивным, жестоким проявлениям бытия. Крестьянский мир «Яра» строится на строгой, сложившейся веками системе духовных и нравственных ценностей: внешний церковный уклад жизни крестьянина в повести является не просто формой земного устройства, но продолжением глубинного духовного содержания, которое дает ему православие. Обратной стороной смиренного и благочестивого характера является способность русского мужика к неистовому самоотрицанию и саморазрушению, к бунту и жестокости. В соединении противоречий и крайностей и раскрывается по Есенину русский национальный характер.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,во втором шкафу
Невский проспект|978-5-4472-3630-4|52|6|2014|6|1501|«Невский проспект» - повесть из цикла «Петербургские повести» русского прозаика, драматурга, поэта, критика, публициста Николая Васильевича Гоголя (1809-1852). Написана в 1833-1834 годах. Впервые напечатана в 1835 году в книге «Арабески. Разные сочинения Н. Гоголя».\nЭта повесть определяет основные темы и проблемы всего цикла. Невский проспект предстает как символ всего Петербурга - города, выстроенного на контрастах и живущего контрастами. Руководствуясь таким пониманием места действия разворачивающихся событий, Гоголь рассказывает историю любовных похождений художника Пискарева и поручика Пирогова - двух очень разных молодых людей, по разному воспринимающих окружающую их реальность и по разному реагирующих на трагикомические злоключения судьбы.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,в третьем шкафу
Двенадцать|978-5-4472-4231-2|16|13|2015|6|654|«Двенадцать» - поэма русского поэта, драматурга, публициста Александра Александровича Блока (1880-1921). Написана в январе 1918 года за несколько дней. Впервые опубликована в марте 1918 года в газете эсеров «Знамя труда», в мае того же года вышла отдельной книгой.\nСразу же после публикации поэма была принята буквально в штыки большинством представителей русской интеллигенции. Многие из бывших поклонников, попутчиков и даже друзей просто порвали с поэтом всякие отношения. Между тем, лишь единицы поняли, что заложил в контекст «Двенадцати» автор. «Те, кто видит в Двенадцати политические стихи, или очень слепы к искусству, или сидят по уши в политической грязи, или одержимы большой злобой, - будь они враги или друзья моей поэмы», - писал Блок. Он полагал, что сценически поэму нужно представлять в жесткой эксцентричной, эпатажно-частушечной, красногвардейской манере, как это делал, например, шансонье М.Н. Савояров, выступая в амплуа питерского босяка-уголовника. Однако сам Блок в таком образе читать не умел, потому сам никогда это свое произведение не представлял публично. Нарастающая смута, разруха, непонимание и нападки со всех сторон привели Блока к депрессии и прогрессирующей болезни. После «Двенадцати» Блок как поэт замолчал.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в четвёртом шкафу
Очарованный странник|978-5-4472-3694-6|191|13|2014|6|1901|«Очарованный странник» - повесть русского писателя Николая Семеновича Лескова (1831-1895). Написана в 1872-1873 годы. Впервые опубликована в 1873 году в газете «Русский мир» под заглавием «Очарованный странник, его жизнь, опыты, мнения и приключения».\nЗамысел повести, имевшей первоначальное название «Ченоземный Телемак», родился в путешествии по Ладожскому озеру на остров Валаам, где жили монахи. Произведение делится на 20 глав, повествующих о жизни героя и представляющих собой отдельные, более или менее законченные истории. Логика повествования определяется не хронологией событий, а воспоминаниями и ассоциациями рассказчика Ивана Флягина. Формально повесть обнаруживает сходство с каноном жития: рассказ о детстве героя, последовательное жизнеописание, борьба с искушениями. Повествовательная организация повести представляет собой сказ - воспроизведение устной речи, имитацию импровизационного рассказа.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,во втором шкафу
Зимнее утро|978-5-4472-4413-2|6|18|2015|6|1850|«Зимнее утро» - стихотворение великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написано в 1829 году. Впервые напечатано в 1830 году в альманахе «Царское село».\nЛирические произведения в творчестве Пушкина занимают весьма значительное место. Поэт неоднократно признавался, что с трепетом относится не только к традициям, мифам и легендам своего народа, но и не перестает восхищаться красотой русской природы - яркой, красочной и полной таинственного волшебства. Он много раз предпринимал попытки запечатлеть самые разнообразные мгновения, мастерски создавая образы осеннего леса или же летнего луга. «Зимнее утро» по праву считается одним из наиболее удачных, красивых, светлых и радостных произведений поэта о природе.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,во втором шкафу
Яма|978-5-4472-4318-0|564|11|2015|6|646|«Яма» - повесть из трех частей русского писателя Александра Ивановича Куприна (1870-1938). Написана в 1908-1914 годы. Полный текст повести впервые напечатан в сборниках «Земля» за 1909, 1914 и 1915 годы.\nХудожественная концепция повести отличается крайней двойственностью и противоречивостью. Писатель создает впечатляющие образы торговцев женским телом, завсегдатаев публичных домов и их обитательниц-проституток. Он разоблачает изощренные методы закабаления девушек, рассказывает об опустошающем влиянии, которое оказывает на них профессия, осуждает партнерство притоносодержателей с продажной администрацией и полицией, участвующих в прибылях публичных домов. Но выявляя мерзкую торгово-предпринимательскую суть проституции, Куприн признает ее первопричиной физиологический фактор. Автобиографический герой «Ямы» - репортер Платонов - утверждает, что человек, и прежде всего мужчина есть «животное много и даже чрезвычайно многобрачное», а потому спрос на проституцию будет существовать всегда. Для повествования характерна чисто очерковая описательность, обилие различных, мало связанных между собой эпизодов. В определенной мере это является следствием отсутствие у Куприна целостной идейной концепции произведения.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в третьем шкафу
