title|writing_year|description|ebook_path
Гуттаперчевый мальчик|1883|Одна из самых пронзительных повестей в русской литературе о детстве. В центре повествования - восьмилетний сирота Петя, отданный в обучение жестокому и беспощадному цирковому немцу-акробату. «Наставник» бранью и побоями приобщает мальчика к профессии и нещадно эксплуатирует ребенка в своих выступлениях. Финал трагичен: во время одного из выступлений Петя, выполняя сложный трюк, на глазах публики сорвался с высоты и погиб.\n|../TableData/BooksEpub/Гуттаперчевый_мальчик_1.epub
Дядя Ваня|1896|Пьеса с подзаголовком «Сцены из деревенской жизни» родилась в результате коренной переработки комедии «Леший» (1990). Хотя Чехов написал фактически совершенно новую пьесу, в нее перешли из «Лешего» и основные действующие лица, и многие сюжетные ситуации, и даже целые фрагменты первоначального текста. Действие «Дяди Вани» происходит в усадьбе первой жены профессора Серебрякова, где тот вынужден жить с дочерью Соней и молодой женой Еленой Андреевной, не имея возможности позволить себе достойную городскую квартиру. В том же имении живут обедневший помещик Телегин и главный герой - Иван Войницкий, брат покойной супруги профессора Серебрякова. Ничего трагического в жизни обитателей не происходит, все они пребывают кто в тоске, кто в бессильной злобе, кто в ленивой скуке, кто в праздности. При этом в каждом из героев подспудно зреет мысль, что жизнь непременно должна измениться, они много об этом рассуждают, но финал один - все возвращается на свое место. Пьеса написана в 1896 году. Впервые поставлена в октябре 1899 года на сцене Московского Художественного театра.\n|../TableData/BooksEpub/Дядя_Ваня_1.epub
Лес|1870|«Лес» - комедия в пяти действиях русского драматурга Александра Николаевича Островского (1823-1886). Это одно из самых совершенных и сложных с точки зрения сюжетного построения произведений Островского. Любовная линия Аксиньи и Петра, разработанная в формах народной комедии, не выдвигается здесь на первый план, хотя развитие действия и драматическая борьба сосредоточены именно на судьбе этих героев. В известном смысле их история становится поводом для развертывания другой линии действия - борьбы между сатирически обрисованным миром помещичьей усадьбы, идеологом которой становится Раиса Гурмыжская, и свободным художником, «благородным артистом» и «блудным сыном» дворянского рода Геннадием Несчастливцевым. Через семейный конфликт в комедии отражаются огромные сдвиги, происходящие в русской жизни. Пьеса написана в 1870 году. Впервые напечатана в 1871 году в журнале «Отечественные записки». Премьера пьесы состоялась в ноябре 1871 года на сцене петербургского Александринского театра.\n|../TableData/BooksEpub/Лес_1.epub
Горе от ума|1828|«Горе от ума» - комедия в стихах. Пьеса сочетает в себе элементы классицизма (соблюдены только 2 классических единства - места и времени; третье единство - действия - отсутствует, в произведении 2 сюжетные линии: любовь Чацкого и противостояние Чацкого и московского общества) и новых для начала XIX века направлений романтизма и реализма. Это блестяще рифмованная сатира на аристократическое московское общество того времени, написанная в афористическом поэтическом стиле. Основной лейтмотив произведения - протест свободной личности «против гнусной российской действительности».Пьеса написана в 1822-1824 годы. Отрывки I и III актов комедии с большими цензурными сокращениями были напечатаны в 1825 году, но разрешение на ее постановку получить не удалось. Первая полная постановка пьесы состоялась 26 января 1831 года в Александринском театре в Санкт-Петербурге. Полностью текст комедии был опубликован лишь в 1862 году.\n|../TableData/BooksEpub/Горе_от_ума_1.epub
Игрушки|1915|Лирический героя рассказа «Игрушки», прогуливаясь в городском саду, наталкивается на двух юных гимназистов и начинает наблюдать за их странным занятием. Как выяснилось, дети заняты игрой в суд, приговор и казнь - они сооружают висельницу и собираются повесить маленького слепого котенка. Прервав жестокую игру, герой задумался о том, был ли он победителем, поскольку мальчишки ретировались, оставшись при своем убеждении - «если можно людей, то кошек - тем более».\nРассказ написан и впервые опубликован в 1908 году в журнале «Неделя» газеты «Современное слово».\n|../TableData/BooksEpub/Игрушки_1.epub
Джюлио|1840|«Джюлио» - одна из ранних романтических поэм Михаила Лермонтова. Это поэма-повесть, поэма-исповедь, в которой действует лирический герой, обуреваемый сильными страстями, глубоко ранимый и искренне страдающий. Для Джюлио «жизнь скучна, когда боренья нет», он ненавидит и презирает равнодушный мир, он устал от жизни. При этом герой осуждает не только окружающий мир, но и себя самого. Основным лирическим мотивом поэмы можно считать раскаяние Джюлио, погубившего свою возлюбленную. Лермонтов сосредоточен на психологическом образе своего героя, пытается проследить процесс опустошения и ожесточения души Джюлио. В тексте поэмы впервые применены астрофические двустишья пятистопного ямба; рифменные объединения связаны синтаксически и интонационно так, что составляют звенья непрерывных повествовательных цепей. Некоторые стихи из «Джюлио» целиком или с небольшими изменениями перенесены в поэмы «Литвинка» и «Измаил-Бей», а также в стихотворение «1831-го июня 11 дня».Поэма написана в 1830 году. Впервые отрывок из поэмы был опубликован в 1860 году в собрании сочинений под редакцией Дудышкина, полностью - в 1891 году в собрании сочинений под редакцией Висковатова.\n|../TableData/BooksEpub/Джюлио_1.epub
Накануне|1859|По словам самого автора, в основу романа положена «мысль о необходимости сознательно героических натур - для того, чтобы дело подвинулось вперед». В «Накануне» Иван Тургенев представил художественное воспроизведение современности, откликаясь на идеи, которыми в период общественного подъема второй половины 50-х годов XIX века были захвачены умы всех передовых мыслящих людей. Героями произведения стали не идеалисты-мечтатели, но новые люди - действительные подвижники, способные к отречению от личного во имя общего. В центре повествования - женский образ, «удивительная девушка» Елена Стахова - «новый человек» русской жизни. Ее окружает даровитая молодежь. Но ни Андрей Берсенев, готовящийся стать профессором, ни талантливый скульптор Павел Шубин, ни сенатский обер-секретарь Курнатовский - не разбудили чувств героини. Свою любовь она отдала Дмитрию Инсарову - иностранцу-болгарину, бедняку, в котором жила «сосредоточенная обдуманность единой и давней страсти».Роман написан в 1859 году. Впервые опубликован в 1860 году в журнале «Русский вестник».\n|../TableData/BooksEpub/Накануне_1.epub
Сказка о рыбаке и рыбке|1836|Эта сказка - своеобразный вариант широко распространенной в традициях разных народов сказки о жадной старухе, наказанной за ее стремление к богатству и власти. Прототипом пушкинской версии можно считать немецкую сказку, действие которой происходит на берегу моря, старик - рыбак, а в роли исполнителя всех желаний выступает рыба-камбала. Пушкин заменил этот образ (в немецкой сказке камбала оказывается заколдованным принцем) золотой рыбкой, народным символом богатства, обилия и удачи. Принципиально иной характер носит и смысловая нагрузка пушкинской сказки: судьба старика отделена от судьбы старухи; он так и остается простым крестьянином-рыбаком, и чем выше становится социальное положение старухи, тем тяжелее становится гнет, испытываемый стариком. В итоге старуха у Пушкина наказана не за то, что она хочет жить барыней или царицей, но за то, что, ставши барыней, она угнетает мужа-крестьянина и других простолюдинов из своего недалекого прошлого. Сказка написана осенью 1833 года. Впервые опубликована в 1835 году в альманахе «Библиотека для чтения».\n|../TableData/BooksEpub/Сказка_о_рыбаке_и_рыбке_1.epub
Автобиография|1915|По происхождению и воспитанию Александр Блок принадлежал к высшим слоям дворянской научно-технической интеллигенции, гордившейся своими наследственными культурными традициями. Блока оберегали от малейших соприкосновений с внешним миром, с «грубой жизнью». Он рос сосредоточенным, углубленным в себя, впитывая семейные «старинные понятия о литературных ценностях и идеалах». Будущий поэт воспитывался на глубоком уважении к традициям и заветам классической русской литературы и долго не знал «ни строки так называемой новой поэзии». Это обстоятельство со всей наглядностью проявилось в ранних стихах самого Блока, которые в основном дублировали темы, мотивы, образы и язык любимых им Жуковского, Фета, Полонского. Автобиографический очерк написан в 1911-1915 годы. Впервые опубликован в 1915 году.\n|../TableData/BooksEpub/Автобиография_1.epub
Любимый|1907|Главного героя рассказа «Любимый» посещает давний приятель Яков, завсегдатай увеселительных мест, театров и кафе. Он сообщает о своей предстоящей женитьбе на чудесной девушке, которую встретил всего неделю назад. В тот же день герой знакомится с избранницей своего приятеля в театре.\nРассказ написан и впервые опубликован в 1907 году в газете «Биржевые ведомости».\n|../TableData/BooksEpub/Любимый_1.epub
Кавказский пленник|1872|Рассказ отчасти основан на реальном событии, произошедшим со Львом Толстым во время его службы на Кавказе в 50-е годы XIX века. Действие происходит во время Кавказской войны 1829-1864 годов. Русский офицер Жилин попадает в плен к горцам-мусульманам, которые намерены получить за пленного выкуп. Бежать офицеру помогает девочка Дина, с которой он сблизился во время плена, - дочь «хозяина» русских пленных Абдул-Мурата. Рассказ построен на сопоставлении двух героев - Жилина и его сослуживца Костылина, также попавшего в плен. Живое описание характера человека, который не теряет собственного достоинства, умеет достойно переносить трудности и бороться за свободу, - главное достоинство произведения.\nРассказ написан и впервые опубликован в 1872 году в журнале «Заря».\n|../TableData/BooksEpub/Кавказский_пленник_3.epub
Слон и Моська|1906|В русскую литературу Александр Грин вступил как писатель-реалист. Два его первых рассказа - вторым был «Слон и Моська. Из летописей ***ского батальона» - задуманы как политические агитки, обличающие армейскую муштру и клеймящие зверскую расправу царизма над крестьянами после подавления первой русской революции. Тираж брошюры «Слон и Моська» был арестован петербургским градоначальником, поскольку содержание рассказа «заключало в себе возбуждение к нарушению воинскими чинами обязанностей военной службы». Несмотря на подкупающую искренность и горячую веру автора в то, что народ «всего добьется», сколько-нибудь существенным моментом творческой биографии Грина, этот рассказ не стал.\nНаписан и впервые опубликован отдельной брошюрой в 1906 году за подписью «А.С.Г.».\n|../TableData/BooksEpub/Слон_и_Моська_1.epub
Эда|1843|Исторический фон произведения - Финляндия 1807-1808 годов, накануне ее окончательного отторжения у Швеции и присоединения к Российской империи. Вся поэма проникнута высокой оценкой коренных обитателей Финляндии, отчаянно боровшихся в то время с русской армией. Апология финнов и финской культуры коренилась в отрицательном отношении автора и либеральных дворянских кругов к русско-шведской войне 1809 года. Сюжетом Боратынский избирает тип сентиментальной повести с противопоставлением сельской простоты и невинности, которую олицетворяет финская девушка Эда, имперской городской культуре, носителем которой выступает русский офицер-гусар - светский повеса, «хитрец» и «лукавец» Владимир.\n|../TableData/BooksEpub/Эда_1.epub
Человек в футляре|1898|Историю об одиноком по натуре человеке, который старался спрятаться от жизни в свою скорлупу, рассказывает на охотничьем ночлеге учитель гимназии Буркин своему товарищу, ветеринарному врачу Ивану Чимша-Гималайскому. Это рассказ об учителе греческого языка Беликове, который обожал футляры и сам даже в самую теплую погоду выходил в пальто, в галошах и с зонтиком. У этого человека было непреодолимое желание спрятать себя от реальности любыми средствами. Коллеги как-то раз решили женить Беликова на сестре нового учителя истории и географии Коваленко - Вареньке. Но закончилось все трагически: Коваленко спустил Беликова с лестницы, а Варенька обсмеяла. «Человек в футляре» ушел домой, лег и больше не вставал, а через месяц умер.\n|../TableData/BooksEpub/Человек_в_футляре_1.epub
Братья Карамазовы|1880|«Братья Карамазовы» - последний роман Федора Михайловича Достоевского (1821-1881). Он задуман Достоевским как первая часть эпопеи «История Великого грешника» и затрагивает глубокие философские проблемы веры, свободы и морали. В центре повествования три брата - Иван, Алексей и Дмитрий, которые заняты разрешением вопросов о первопричинах и конечных целях бытия. И каждый из них делает свой выбор, по-своему пытаясь ответить на вопрос о Боге и бессмертии души. «Никогда ни на какое сочинение мое не смотрел я серьезнее, чем на это», - писал Достоевский в одном из писем по поводу «Братьев Карамазовых». С выходом романа Достоевский получил общественное признание как духовный учитель, «властитель дум».\nСоздавался роман с апреля 1878 по ноябрь 1880 года.\n|../TableData/BooksEpub/Братья_Карамазовы_1.epub
Судьба, взятая за рога|1914|Исследователь Рен - герой рассказа «Судьба, взятая за рога» - потерял зрение в результате несчастного случая, происшедшего с ним в одной из экспедиций. Жене, которая должна в ближайшее время приехать к герою, он о потери зрения не написал. Рен переживает, что слепой он будет любимой женщине в тягость.\nРассказ написан и впервые опубликован в 1914 году в журнале «Отечество». Для публикации в издательстве «Мысль» в 1928 году писатель значительно переработал рассказ.\n|../TableData/BooksEpub/Судьба_взятая_за_рога_1.epub
Окно в лесу|1909|«Окно в лесу» - история об охотнике, заблудившемся на незнакомой зловещей равнине. Неизвестность местонахождения путала его мысли, голод, холод и близость ночи пугали. Он двигался в слепой надежде выбраться к знакомым местам, успокоиться и сориентироваться. С наступлением ночи охотник добрался до леса, в чаще которого обнаружил дом.Рассказ написан и впервые опубликован в 1909 году в газете «Слово».\n|../TableData/BooksEpub/Окно_в_лесу_1.epub
Пришествие|1924|Поэма «Пришествие» посвящена русскому писателю и поэту Андрею Белому (1880-1934), творчество которого оказало на формирование поэтического языка Сергея Есенина немалое влияние. Поэтические имена Белого и Есенина являются символами разных литературных эпох. Развитие художественного мира Белого осуществлялось под знаком идеализма «младосимволистов». Есенин же пришел в литературу после распада символизма как литературного течения. Художественный мир и язык его произведений свидетельствовали о связи с истоками национальной культуры и сокровенными тайнами народного духа. Белый едва ли догадывался о творческом влиянии, которое он оказывал на Есенина. Творческий диалог поэтов основывался на человеческой симпатии друг к другу, которая возникла в годы их общения в рамках идейного объединения «Скифы» в 1917-1918 годы. Отзывы Белого о поэзии Есенина достаточно сдержанные: известно, что поэт-символист считал H.A. Клюева более значительной и масштабной фигурой, чем Есенин.Поэма написана в 1917 году. Впервые опубликована в 1918 году в газете «Знамя труда».\n|../TableData/BooksEpub/Пришествие_1.epub
Дикая мельница|1915|Короткая зарисовка от первого лица об обессиленном страннике, блуждающем в поисках приюта по местности мало знакомой, темной и тяжелой. Прибежище путник находит на мельнице, где обитает старик мрачной и неприветливой внешности. Устроившись на ночлег, герой обнаруживает себя на рассвете связанным и беспомощным. Луч редкого в тех местах солнца спасает странника от страшной смерти.Рассказ написан и впервые опубликован в 1915 году в журнале «XX-ый век».\n|../TableData/BooksEpub/Дикая_мельница_1.epub
О любви, поэзии и государственной службе|1906|«Диалог», как обозначал это свое произведение Блок, был выделен автором из черновых рукописей пьесы «Король на площади» в 1906 году. Предполагается, что отделение текста диалога, разворачивающегося между Поэтом и Шутом, связано с намерением Блока несколько ослабить полемику с политическими идеалами Зодчего - одного из главных действующих лиц пьесы. Сатира на идею «двора» могла бы подспудно привести к обострению драматургической коллизии Зодчий - Поэт, что явно не входило в общий замысел Блока. Слова «веселая наука» в шестой реплике Шута восходят к заглавию книги Ф. Ницше «Веселая наука». Эта формула, обозначавшая идею соединения мудрости с артистичностью, была необычайно популярна в кругах русской интеллигенции того времени.\n|../TableData/BooksEpub/О_любви_поэзии_и_государственной_службе_1.epub
Серебряный голубь|1909|«Повесть», как обозначал «Серебряного голубя» сам автор, ознаменовала переход Андрея Белого от стилистического типа «симфоний» к новому типу прозаического повествования. От изображения обобщенно-символических психологических состояний, за которыми угадывается очень условная этическая концепция, Белый переходит к индивидуализированным, хотя и символически-многозначным характерам, за которыми легко угадывается конкретная историческая концепция. Не изолированные состояния интересуют теперь писателя, а люди - носители этих состояний. В центре повествования студент-горожанин Петр Дарьяльский, приехавший в деревню к своей невесте. Религиозная секта «голубей», в которую он попадает, символизирует в повести начало темное, восточное; помещица-бабушка немецкого происхождения и история семьи Тодрабе-Граабен олицетворяет начало светлое, западное, европейское.\n|../TableData/BooksEpub/Серебряный_голубь_1.epub
Соловьиный сад|1920|В этом произведении Блок поднимает важнейшие нравственные и философские проблемы долга и верности ему, любви и права на счастье, назначения искусства и своего места в нем. В «Соловьином саде» противопоставляются две линии: первая - будничная прозаическая жизнь, наполненная содержанием и действием; вторая - райская жизнь, без дела и цели. Перед лирическим героем, соответственно, открываются два пути: один - тяжелый и однообразный труд; второй - любовь прекрасной женщины, покой и очарование соловьиного сада. Герой оставляет жалкую хижину, верного помощника осла и идет в манящий соловьиный сад. Но очень скоро он понимает, что счастье было там, на каменистых тропинках. Герой покидает прекрасный сад и нежную возлюбленную, но поздно. Уже нет ни его хижины, ни его осла, а по тропинке, протоптанной его ногами, спускается другой человек.\n|../TableData/BooksEpub/Соловьиный_сад_1.epub
Последние дни императорской власти|1920|С мая 1917 года Александр Блок являлся литературным редактором стенографического отчета Чрезвычайной следственной комиссии по делам бывших царских министров. Он писал позже, что материал допросов «оказывается неожиданно ярким с точки зрения бытовой, психологической, литературной, даже - с точки зрения языка». По мнению Блока, издание этих материалов, «давая верную картину деятельности и падения старой власти, разрушило бы многие сложившиеся вокруг нее легенды». Стенографический отчет Чрезвычайной следственной комиссии был опубликован только в 1924-1927 годы, но свои соображения Блок попытался реализовать в книге «Последние дни императорской власти», над которой начал работать в августе 1917 года. Книга была закончена в марте 1918 года и впервые в несколько сокращенном виде была опубликована в журнале «Былое» в 1919 году под названием «Последние дни старого режима». Полностью книга «Последние дни императорской власти» была напечатана в Петрограде в 1921 году в издательстве «Алконост».\n|../TableData/BooksEpub/Последние_дни_императорской_власти_1.epub
Драма на охоте|1884|Повесть имеет два подзаголовка: «Истинное происшествие» и «Из записок судебного следователя». В «Драме на охоте» молодой Чехов играет на внутренних противоречиях характеров персонажей. Так, внешне благородные Камышев и Ольга оказываются жестокими и коварными натурами. А в «неравном браке» Урбенина и Ольги страдающей стороной оказывается вовсе не юная невеста, а пожилой «жених», наивно пытавшийся найти свое счастье. Некоторые персонажи выведены довольно схематично. Так, например, Граф является средоточием всех возможных пороков, а уездный врач, к которому автор питает явную симпатию, напротив, выглядит неправдоподобно идеалистичным. Повесть написана в редком для Чехова жанре детективной истории. Известно, что сам автор, отрицательно относившийся к детективной литературе, никогда не возвращался к работе над этой повестью, не включал ее в собрание сочинений и практически не упоминал в переписке. «Драма на охоте» написана и впервые опубликована в 1884 году в газете «Новости дня» под псевдонимом А. Чехонте.\n|../TableData/BooksEpub/Драма_на_охоте_1.epub
Скифы|1920|«Скифы» были написаны под впечатлением от известий о наступлении на революционную Россию немецких войск. Блок уверен, если на Россию пойдут с агрессией, то та даст отпор, однако это будет страшнейшая война. Россия мощна и сильна, в ней много от азиатской дикой необузданности и разгула. И чем закончится схватка, когда России нечего терять, не знает никто. Самому Блоку получившееся патриотично-пафосное стихотворение не нравилось. «Я Скифы не так люблю в одной линии с политическими манифестами, - скучно», - говорил поэт по воспоминаниям современников.\n|../TableData/BooksEpub/Скифы_1.epub
Поединок предводителей|1915|«Поединок предводителей» - короткая романтическая новелла о жертвенности, чести, торжестве воли и разума. Рассказ повествует о схватке Синга и Ирета, вождей военных отрядов враждующих охотничьих деревень в джунглях Северной Индии. Оба жертвуют собой, чтобы предотвратить новую вспышку ненависти и возобновление резни, которая оставит семьи обеих сторон без кормильцев.Рассказ написан и впервые опубликован в 1915 году в журнале «ХХ-ый век» под псевдонимом А. Степанов.\n|../TableData/BooksEpub/Поединок_предводителей_1.epub
Встречи и приключения|1927|Написанный в жанре путевого дневника, рассказ-миниатюра «Встречи и приключения» является своеобразным отчетом писателя о написанном - «текстом о текстах». В ткань повествования введены герои и места из ранее созданных произведений. Герои романа «Золотая цепь» - Санди Пруэль, Дюрок, Молли - действуют рядом с персонажами других произведений - Ассолью, капитаном Дюком, Дэзи, Летикой, Тави Тумом, Друдом.Рассказ написан в 1927 году.\n|../TableData/BooksEpub/Встречи_и_приключения_1.epub
Капитанская дочка|1836|«Капитанская дочка» принадлежит к серии произведений, которыми русские писатели 30-х годов откликнулись на успех переводных романов Вальтера Скотта. Замысел повести о пугачевской эпохе назрел во время работы Пушкина над исторической хроникой «История Пугачевского бунта». В окончательной версии автор придал повествованию форму мемуаров, а рассказчиком и главным героем сделал дворянина-офицера, который сохранил верность долгу и присяге, несмотря на соблазн перейти на сторону бунтовщиков. «Русский бунт, бессмысленный и беспощадный» сопровождает историю любви Петра Гринева, от лица которого ведется рассказ, к дочери коменданта пограничной крепости Маше Мироновой.\nРоман написан в 1832-1836 годах.\n|../TableData/BooksEpub/Капитанская_дочка_1.epub
Из воспоминаний рядового Иванова|1882|Война для рядового Иванова, как и для героев других военных рассказов Гаршина, - тяжелое народное горе, общее страдание. Но в то же время герой примиряется с ее неизбежностью и принимает ее неотвратимость. Внимание автора сосредоточено главным образом на раскрытии взаимоотношений рядового Иванова с солдатами и на изображении самих солдат. Гаршин с любовью и большим художественным мастерством рисует как солдатскую массу в целом, так и отдельных ее представителей. В рассказе подчеркнута большая моральная сила и мудрость солдат в противоположность их командирам.\nПроизведение опубликовано в 1882 году.\n|../TableData/BooksEpub/Из_воспоминаний_рядового_Иванова_1.epub
Рославлев, или Русские в 1812 году|1831|«Рославлев, или Русские в 1812 году» - второй исторический роман русского писателя, драматурга, директора Императорских Московских театров и Московской оружейной палаты Михаила Николаевича Загоскина (1789-1852). Действие романа «Рославлев» происходит во времена Отечественной войны 1812 года. В основе его лежит трагико-романтическая история взаимоотношений русского офицера Владимира Рославлева и его невесты Полины. «Исторический роман - это не история, а выдумка, основанная на истинном происшествии», - писал о своем произведении автор.Роман напечатан в 1831 году.\n|../TableData/BooksEpub/Рославлев_или_Русские_в_1812_году_1.epub
Русь|1924|В небольшой по объему поэме «Русь» Сергей Есенин создает обобщенный образ родной земли, размышляет о ее судьбе, рассказывает о страданиях и надеждах своего народа, признается в любви к своей родине. Произведение состоит из пяти частей, которые раскрывают тему с самых разных точек зрения. Поэт создает грустную, тоскливую и пугающую картину крестьянской Руси, страдающей от холода, голода, войны и разрухи. Появляющийся в четвертой части образ четницы Луши олицетворяет собою сквозной лейтмотив поэмы, связанный с желанием разгадать, за что поэт любит свою родину и что ждет ее в будущем, а также с невозможностью постигнуть до конца тайну Руси.Поэма написана в 1914 году. Впервые опубликована в 1915 году в «Новом журнале для всех».\n|../TableData/BooksEpub/Русь_1.epub
