isbn|title|genre|author|path|pages|description|publisher|annotation|writing_year|publishing_year|cover_path
978-5-4472-4370-8|Стихотворения|['Поэзия']|Хлебников Велимир|../TableData/BooksEpub/Стихотворения_3.epub|118|Виктор Владимирович (Велимир) Хлебников (1885-1922) - русский поэт, прозаик; один из крупнейших деятелей русского авангарда, основоположник русского футуризма; реформатор поэтического языка, экспериментатор в области словотворчества и зауми-языка.Среди особенностей, характеризующих стихотворное творчество Хлебникова, в первую очередь можно выделить стилевое своеобразие. Оно выражается в необычной лексике, в наличии большого количества неологизмов, в намеренном нарушении синтаксических норм, в активном использовании таких риторических фигур-тропов как «олицетворение» и «плеоназм».\n|ДА!Медиа|Виктор Владимирович (Велимир) Хлебников (1885-1922) - русский поэт, прозаик; один из крупнейших деятелей русского авангарда, основоположник русского футуризма; реформатор поэтического языка, экспериментатор в области словотворчества и зауми-языка.\nСреди особенностей, характеризующих стихотворное творчество Хлебникова, в первую очередь можно выделить стилевое своеобразие. Оно выражается в необычной лексике, в наличии большого количества неологизмов, в намеренном нарушении синтаксических норм, в активном использовании таких риторических фигур-тропов как «олицетворение» и «плеоназм». С периодизацией творчества Хлебникова специалисты связывают использование поэтом двух гипотетических языков. Первый период (1907-1913) характеризуется «общеславянским» языком, отказом от словоформ с корнями не-славянского происхождения экспериментами с составлением разнообразных слов на основе русских корней. Второй период (1919-1922) определяется использованием «звездного» языка, который строится в основном на словообразах и, несмотря на сходство с «заумью», в полной мере таковой не является; его принцип предполагает создание полного мирового языка на основе универсального звучания согласных.\n||2015|../TableData/BooksPhoto/default_book_cover.png
|Марья Ивановна|['Рассказ']|Куприн Александр|../TableData/BooksEpub/Марья_Ивановна_1.epub|10|Александр Куприн написал рассказ о непослушной обезьяне в 1914 году. В основу сюжета легли реальные события: годом ранее дочь писателя Лидия купила обезьяну-павиана по имени Мария Ивановна, а затем отвезла ее на зиму к отцу. Животное имело скверный характер, бросалось на женщин, портило мебель и другие вещи, поэтому вскоре Куприн подарил ее знакомому клоуну. Некоторое время обезьяна выступала в цирке Чинизелли, затем ее отдали в Московский зоопарк.\nРассказ «Марья Ивановна» впервые был напечатан в журнале «Рубикон».\n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|1914||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4296-1|Купол св. Исаакия Далматского|['Повесть']|Куприн Александр|../TableData/BooksEpub/Купол_св_Исаакия_Далматского_1.epub|114|Осенью 1919 года, когда войска генерала Н.Н. Юденича заняли Гатчину, Александр Куприн в чине поручика вступил в Северо-Западную армию и получил назначение редактором армейской газеты «Приневский край», которую возглавлял казачий генерал П.Н. Краснов. После поражения Северо-Западной армии Куприн эмигрировал за границу. Об этом армейском периоде свой жизни писатель рассказал в автобиографической повести «Купол Св. Исаакия Далматского».\nПроизведение написано и впервые опубликовано в 1928 году в одноименном сборнике.\n|ДА!Медиа|«Купол св. Исаакия Далматского» - повесть русского писателя Александра Ивановича Куприна (1870-1938). Написана и впервые опубликована в 1928 году в одноименном сборнике.\nОсенью 1919 года, когда войска генерала Н.Н. Юденича заняли Гатчину, Александр Куприн в чине поручика вступил в Северо-Западную армию и получил назначение редактором армейской газеты «Приневский край», которую возглавлял казачий генерал П.Н. Краснов. После поражения Северо-Западной армии Куприн эмигрировал за границу. Об этом армейском периоде свой жизни писатель рассказал в автобиографической повести «Купол Св. Исаакия Далматского».\n|1928|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4366-1|Дворянское гнездо|['Статья']|Писарев Дмитрий|../TableData/BooksEpub/Дворянское_гнездо_2.epub|34|Роману И.С. Тургенева «Дворянское гнездо», впервые опубликованному в 1859 году в журнале «Современник», Дмитрий Писарев посвятил несколько статей. В первой, опубликованной в журнале «Рассвет», он подчеркивает, что в романе выражено «знание русской жизни, и притом знание не книжное, а опытное, вынесенное из действительности, очищенное и осмысленное силою таланта и размышления». Писарев говорит о «Дворянском гнезде» как о «самом стройном и законченном» из произведений Тургенева. Самобытность писателя, по мнению критика, выражается в создании истинно русских типов и, в том числе Лаврецкого, который «не отступает от борьбы, пока можно бороться, и умеет покоряться молча, с мужественным достоинством, там, где нет другого исхода».\n|ДА!Медиа|«Дворянское гнездо (Роман И.С. Тургенева)» - критическая статья русского публициста и литературного критика Дмитрия Ивановича Писарева (1840-1868). Написана и впервые опубликована в 1859 году в журнале «Рассвет».\nРоману И.С. Тургенева «Дворянское гнездо», впервые опубликованному в 1859 году в журнале «Современник», Писарев посвятил несколько статей. В своей первой статье в журнале «Рассвет» он подчеркивает, что в романе выражено «знание русской жизни, и притом знание не книжное, а опытное, вынесенное из действительности, очищенное и осмысленное силою таланта и размышления». Писарев говорит о «Дворянском гнезде» как о «самом стройном и законченном» из произведений Тургенева. Самобытность писателя, по мнению критика, выражается в создании истинно русских типов и в том числе Лаврецкого, который «не отступает от борьбы, пока можно бороться, и умеет покоряться молча, с мужественным достоинством, там, где нет другого исхода».\n|1859|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4513-9|Невеста|['Рассказ']|Чехов Антон|../TableData/BooksEpub/Невеста_1.epub|28|В рассказе «Невеста» Антон Чехов впервые обращается к образу «нового положительного героя» - активного героя, который не стоит в беспомощном недоумении перед пустотой и пошлостью обывательского прозябания, но активно ищет выход. Таков образ героини рассказа - двадцатитрехлетней девушки Нади, которая страстно мечтала о замужестве и стала невестой, но испытывает странное чувство грусти, унижения и презрения к себе и своему «неумному» жениху Андрею Андреичу. Она решает бежать навстречу судьбе с московским гостем Александром Тимофеичем - в Москву, а потом в Петербург. Спустя полгода Надя возвращается домой совершенно другим, живым и веселым человеком, хотя мальчишки с соседнего двора по-прежнему дразнят ее «невестой». Рассказ написан в 1902-1903 годы. Впервые опубликован в 1903 году в «Журнале для всех».\n|ДА!Медиа|«Невеста» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан в 1902-1903 годы. Впервые опубликован в 1903 году в «Журнале для всех».\nВ рассказе «Невеста» Чехов впервые обращается к образу «нового положительного героя» - активного героя, который не стоит в беспомощном недоумении перед пустотой и пошлостью обывательского прозябания, но активно ищет выход. Таков образ героини рассказа - двадцатитрехлетней девушки Нади, которая страстно мечтала о замужестве и стала невестой, но испытывает странное чувство грусти, унижения и презрения к себе и своему «неумному» жениху Андрею Андреичу. Она решает бежать навстречу судьбе с московским гостем Александром Тимофеичем - в Москву, а потом в Петербург. Спустя полгода Надя возвращается домой совершенно другим, живым и веселым человеком, хотя мальчишки с соседнего двора по-прежнему дразнят ее «невестой».\n|1903|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3634-2|Шинель|['Повесть']|Гоголь Николай|../TableData/BooksEpub/Шинель_1.epub|48|Повесть «Шинель» Николай Гоголь написал в 1841 году. В произведении писатель рассказал о нелепой жизни и смерти «маленького человека» - Акакия Акакиевича Башмачкина. Основой сюжета послужил анекдот о небогатом чиновнике, потерявшем ружье, на которое он долго копил. Поэт Аполлон Григорьев писал о повести: «В образе Акакия Акакиевича поэт начертал последнюю грань обмеленья божьего создания до той степени, что вещь, и вещь самая ничтожная, становится для человека источником беспредельной радости и уничтожающего горя, до того, что шинель делается трагическим fatum в жизни существа, созданного по образу и подобию Вечного».\nПовесть впервые была напечатана в 3-м томе собрания сочинений Гоголя в 1843 году.\n|ДА!Медиа|«Шинель» - повесть русского прозаика, драматурга, поэта, критика, публициста Николая Васильевича Гоголя (1809-1852). Увидела свет в 3-ем томе собрания сочинений Гоголя, отпечатанного на исходе 1842 году и поступившего в продажу в январе 1843 года. Вошла в историю русской литературы как «манифест социального равенства и неотъемлемых прав личности в любом ее состоянии и звании».\nВ нарочито косноязычной сказовой манере, перебиваемой патетическими монологами, автор повествует о нелепой жизни и смерти так называемого «маленького человека», по своему сопротивляющегося обстоятельствам и бунтующего против социальной иерархии. Неожиданное соединение элементов критического реализма и мистического гротеска в этой повести неоднократно ставило в тупик литературоведов и критиков.\n|1841|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4465-1|Горе|['Рассказ']|Чехов Антон|../TableData/BooksEpub/Горе_1.epub|11|Герой рассказа «Горе» - токарь Григорий Петров, известный как великолепный мастер и в то же время как самый непутевый мужик - везет свою больную старую жену Матрену в земскую больницу. Горе застало токаря нежданно-негаданно, и теперь он никак не может очнуться, прийти в себя, сообразить. Жил раньше безмятежно в пьяном полузабытьи, а со вчерашнего вечера почувствовал в душе ужасную боль. Беспечный лежебока и пьянчужка очутился в положении человека занятого, озабоченного и спешащего.Рассказ написан и впервые опубликован в 1885 году в «Петербургской газете» за подписью «А. Чехонте». Включен в сборник «Пестрые рассказы».\n|ДА!Медиа|«Горе» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1885 году в «Петербургской газете» за подписью «А. Чехонте». Включен в сборник «Пестрые рассказы».\nГерой рассказа «Горе» - токарь Григорий Петров, известный за великолепного мастера и в то же время за самого непутевого мужика - везет свою больную старую жену Матрену в земскую больницу. Горе застало токаря нежданно-негаданно, и теперь он никак не может очнуться, прийти в себя, сообразить. Жил раньше безмятежно в пьяном полузабытьи, а со вчерашнего вечера почувствовал в душе ужасную боль. Беспечный лежебока и пьянчужка очутился в положении человека занятого, озабоченного и спешащего.\n|1885|2015|../TableData/BooksPhoto/default_book_cover.png
|Путешественник Уы-Фью-Эой|['Рассказ']|Грин Александр|../TableData/BooksEpub/Путешественник_УыФьюЭой_1.epub|9|Дюклен О’Гунтас - страстный путешественник. Он совершил 4 кругосветных плавания, но мечтает о большем: «Что я видел? Лишь горизонты по обеим сторонам тех линеек, какие вычертил собственной особой своей вокруг океанов и материков». Дюклен знакомится с бродягой со странным именем Уы-Фью-Эой. Путник рассказывает: «Я путешествовал на триремах, галиотах, клиперах, фрегатах и джонках. Короче говоря, на каком месте ты ни развернешь книгу истории...». Дюклен восхищается приключениями нового знакомого, однако Уы-Фью-Эой внезапно исчезает буквально на его глазах.\nРассказ «Путешественник Уы-Фью-Эой» был впервые опубликован в вечернем выпуске «Красной газеты» 31 января 1923 года.\n||«Путешественник Уы-Фью-Эой» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1923 году в «Красной газете».\nГерой новеллы «Путешественник Уы-Фью-Эой» живет странствиями. Он уже совершил четыре кругосветных путешествия и в разное время посетил Австралию, Полинезию, Индию и Тибет. Однако герой устал и считает, что проиграл, поскольку «почти ничего не видел на нашей планете». Однажды он встречает странного человека со всклоченной бородой, в грязном плаще из парусины и с крошечной плюшевой шапочкой на голове.\n|1923||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3746-2|Оборотень|['Сказка']|Сомов Орест|../TableData/BooksEpub/Оборотень_1.epub|36|Орест Сомов считается предшественником Николая Гоголя во внедрении фольклора в «высокую» литературу, однако его произведения все же больше походят на этнографические очерки, чем на художественные произведения.\nСказка «Оборотень», основанная на популярном фольклорном сюжете, вышла в печать в 1829 году. По ее сюжету, в одном селении жил старик Ермолай, который имел среди соседей дурную славу колдуна. И когда селяне стали замечать частую пропажу скота, они заподозрили в этом Ермолая и даже уговорили его приемного сына проследить за предполагаемым чародеем. Однако никто не догадывался, чем обернется для юноши это поручение.\n|ДА!Медиа|«Оборотень» - сказочная повесть русского писателя, поэта, журналиста, литературного критика Ореста Михайловича Сомова (1793-1833). Написана и опубликована в 1829 году в альманахе «Подснежник».\nПовесть написана по мотивам малороссийского народного фольклора, однако не является его аутентичной записью. Автор вполне осознанно подчеркивает «небывалый» и фантастический характер сюжета, обрамляет основной текст небольшим вступлением и эпилогом, имеющими иронический характер. «Оборотень» - это история-небылица, повествующая о старике-колдуне Ермолае, который знал заговор обращения в волка, о его воспитаннике Артеме, который воспользовался наукой своего наставника, и красной девушке Акулине, благодаря добрым усилиям которой история и получила счастливое завершение.\n||2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3771-4|Стихотворения в прозе|['Поэзия']|Тургенев Иван|../TableData/BooksEpub/Стихотворения_в_прозе_1.epub|121|«Стихотворения в прозе» - повествовательно-поэтический цикл русского писателя, поэта, публициста, драматурга, переводчика Ивана Сергеевича Тургенева (1818-1883). В цикл вошли миниатюры, написанные в 1877-1882 годах. Впервые цикл был частично опубликован в 1882 году в журнале «Вестник Европы». «Стихотворения в прозе» - это философские раздумья писателя, утверждающие мысль о ценности человеческой жизни и значимости каждой неповторимой человеческой личности. Изначально Тургенев рассматривал миниатюры, вошедшие в цикл, как эскизы для будущих произведений. Однако вскоре изменил свое отношение и, опираясь на традиции французской литературы, фактически ввел в русскую литературу новый жанр малой формы: лирическое размышление или прозаическая элегия.\n|ДА!Медиа|«Стихотворения в прозе» - повествовательно-поэтический цикл русского писателя, поэта, публициста, драматурга, переводчика Ивана Сергеевича Тургенева (1818-1883). В цикл вошли миниатюры, написанные в 1877-1882 годы. Впервые цикл был частично опубликован в 1882 году в журнале «Вестник Европы».\n«Стихотворения в прозе» - это философские раздумья писателя, утверждающие мысль о ценности человеческой жизни и значимости каждой неповторимой человеческой личности. Изначально Тургенев рассматривал миниатюры, вошедшие в цикл, как эскизы для будущих произведений. Однако вскоре изменил свое отношение и, опираясь на традиции французской литературы, фактически ввел в русскую литературу новый жанр малой формы: лирическое размышление или прозаическая элегия. Цикл несколько раз переименовывался - «Posthuma», «Senilia», «Зигзаги» и наконец «Стихотворения в прозе».\n|1882|2014|../TableData/BooksPhoto/default_book_cover.png
|Черный монах|['Повесть']|Чехов Антон|../TableData/BooksEpub/Черный_монах_1.epub|54|Идея повести пришла к Антону Чехову во сне, его брат Михаил вспоминал: «Сижу я как-то после обеда у самого дома... и вдруг выбегает брат Антон и как-то странно начинает ходить и тереть себе лоб и глаза <...> - Я видел сейчас страшный сон. Мне приснился черный монах». В письме к своему издателю Алексею Суворину Чехов комментировал замысел произведения: «Просто пришла охота изобразить манию величия».\nГлавный герой повести - Андрей Коврин - приезжает в деревню поправить душевное здоровье, однако продолжает вести разгульный образ жизни: пьет вино, много курит, мало спит. В деревне он влюбляется в подругу детства Таню и делает ей предложение. В это же время ему впервые является черный монах - герой старинной легенды. Он убеждает Коврина в его гениальности, избранности и незаурдности, отчего Коврин сходит с ума. \n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|1893||../TableData/BooksPhoto/default_book_cover.png
|Большой Фонтан|['Рассказ']|Куприн Александр|../TableData/BooksEpub/Большой_Фонтан_1.epub|10|Куприн написал рассказ в 1911 году в Санкт-Петербурге. Герой произведения рассказывает, как потерял друга: тот женился на властной и невежественной женщине якобы из-за чар белой акации, которая цвела в Одессе в то время.\nВ ранней редакции рассказ вышел на страницах журнала «Сатирикон». Тогда он назывался «Белая акация» и по форме представлял собой письмо-исповедь «погибшего» в браке друга. Однако через год Куприн изменил заглавие на «Большой Фонтан» - именно так назывался курортный район, в котором друг героя познакомился с будущей женой. В 1912 году рассказ вошел в 7-й том Полного собрания сочинений Александра Куприна.\n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|1927||../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4483-5|Добрый знакомый|['Рассказ']|Чехов Антон|../TableData/BooksEpub/Добрый_знакомый_1.epub|6|Новелла «Добрый знакомый» - миниатюрная зарисовка сценки катания на коньках. Рассказчик сидит вдали от катка на скамье и беседует с хорошенькой девушкой. Мимо проходит департаментский рассыльный Спевсип Макаров, который в порыве сентиментальной душевности откровенничает и выставляет юного героя перед девушкой далеко не в лучшем свете.\nРассказ написан и впервые опубликован в 1882 году в журнале «Осколки» за подписью «Человек без селезенки».\n|ДА!Медиа|«Добрый знакомый» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1882 году в журнале «Осколки» за подписью «Человек без селезенки».\nНовелла «Добрый знакомый» - миниатюрная зарисовка сценки катания на коньках. Рассказчик сидит вдали от катка на скамье и беседует с хорошенькой девушкой. Мимо проходит департаментский рассыльный Спевсип Макаров, который в порыве сентиментальной душевности откровенничает и выставляет юного героя перед девушкой далеко в не лучше свете.\n|1882|2015|../TableData/BooksPhoto/default_book_cover.png
|Песнь о Евпатии Коловрате|['Поэзия']|Есенин Сергей|../TableData/BooksEpub/Песнь_о_Евпатии_Коловрате_1.epub|9|«Песнь о Евпатии Коловрате» была напечатана в газете «Голос трудового крестьянства» в июне 1918 года. За основу своего произведения Есенин взял историю русского воеводы Евпатия Коловрата, описанную в «Повести о разорении Рязани Батыем». Поэт использовал необычную колоритную лексику, чтобы придать своей поэме дух народно-поэтического памятника, посвященного борьбе русского народа с татарским нашествием.\n||«Песнь о Евпатии Коловрате» - поэма русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написана в 1912 году. Впервые опубликована в 1918 году в газете «Голос трудового крестьянства». Существенно переработав текст и изменив название, автор включил поэму в свое полное собрание стихотворений, вышедшее уже в 1926 году.\nВ первоначальном варианте поэма имела иное название - «Сказание о Евпатии Коловрате, о хане Батые, цвете троеручице, о черном идолище и Спасе нашем Иисусе Христе». Посвящена она подвигу рязанского богатыря-воеводы Евпатия Коловрата, который сразу после разорения Рязани ханом Батыем с малой дружиной пустился в погоню и дал смертный бой монголо-татарскому войску, многократно превосходившему по численности русскую дружину. Точных сведений об истории создания поэмы не сохранилось. Предполагается, однако, что написано произведение под влиянием «Слова о полку Игореве», которым поэт восхищался и которое знал наизусть. Поэма Есенина близка к русским былинам и духовным стихам, но, как утверждают специалисты, не является перепевом какой-либо конкретной исторической песни.\n|||../TableData/BooksPhoto/default_book_cover.png
|Царь Федор Иоаннович|['Пьеса']|Толстой Алексей|../TableData/BooksEpub/Царь_Федор_Иоаннович_1.epub|165|Вторую часть драматической трилогии - продолжение «Смерти Иоанна Грозного» - Алексей Толстой написал в 1868 году. Писатель считал ее своим лучшим произведением. Пьеса рассказывала о событиях XVI века, когда Иван Шуйский примирился с Борисом Годуновым, а в стране обострились социальные противоречия. В основу сюжета легли события, описанные Николаем Карамзиным в «Истории государства Российского». Однако Алексей Толстой по-своему увидел образ царя Федора. Он изобразил его «не просто слабодушным, кротким постником, но человеком, наделенным от природы самыми высокими душевными качествами, при недостаточной остроте ума и совершенном отсутствии воли».\n||«Царь Федор Иоаннович» - трагедия в пяти действиях русского писателя, поэта, драматурга графа Алексея Константиновича Толстого (1817-1875). Это произведение является второй частью исторической трилогии Толстого, в которую также входят трагедии «Смерть Иоанна Грозного» (1866) и «Царь Борис» (1870). Написана в 1868 году. Первую постановку пьесы осуществила в 1890 году в Петербурге любительская труппа. 14 октября 1898 года постановкой «Царя Федора» в Москве открылся Художественно-общедоступный театр, будущий МХАТ.\nО концепции трагедии Толстой писал следующее: «Две партии в государстве борются за власть: представитель старины, князь Шуйский, и представитель реформы, Борис Годунов. Обе партии стараются завладеть слабонравным царем Федором как орудием для своих целей. Федор, вместо того чтобы дать перевес той или другой стороне или же подчинить себе ту и другую, колеблется между обеими и чрез свою нерешительность делается причиной: восстания Шуйского и его насильственной смерти, убиения своего наследника, царевича Димитрия, и пресечения своего рода. Из такого чистого источника, какова любящая душа Федора, истекает страшное событие, разразившееся над Россией долгим рядом бедствий и зол».\n|||../TableData/BooksPhoto/default_book_cover.png
|Москва родная|['Статья']|Куприн Александр|../TableData/BooksEpub/Москва_родная_1.epub|10|С 1920 по 1937 год писатель Александр Куприн жил в эмиграции в Париже. Все эти годы он мечтал о возвращении на родину. Наконец, после долгой разлуки, он вернулся в «другую» Москву и написал об этом заметку. Куприн восхищается этим социалистическим городом, ему приятно внимание молодежи, которая без труда узнает «старого писателя» на улицах. Он часто сравнивает Москву с заграницей и видит в ней положительные изменения - новые кинотеатры, метро, детские сады. Куприн в восторге от главной «достопримечательности» Москвы - москвичей.\nЗаметка «Москва родная» впервые вышла на страницах газеты «Комсомольская правда» 11 октября 1937 года. Это панегирик советским людям, советской молодежи и заботе власти о гражданах. Однако исследователи творчества Куприна считают, что заметку мог написать не сам Куприн, а приставленный к нему журналист Николай Вержбицкий: писателю была не свойственна подобная манера восхваления.\n||Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список «Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки», подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n|1937||../TableData/BooksPhoto/default_book_cover.png
